x,Casem2018_Fig2a_1e-3_295K
0.135344,1221.21
0.141263,1225.86
0.145603,1233.62
0.150536,1236.72
0.153495,1242.93
0.15823,1247.59
0.162965,1250.69
0.1677,1255.34
0.172435,1260
0.17717,1263.1
0.182103,1267.76
0.186838,1272.41
0.191573,1275.52
0.196308,1281.72
0.20124,1284.83
0.205975,1291.03
0.21071,1294.14
0.215445,1298.79
0.220378,1303.45
0.225113,1306.55
0.229848,1312.76
0.23478,1314.31
0.239515,1320.52
0.24425,1323.62
0.248985,1326.72
0.25372,1329.83
0.258455,1334.48
0.263191,1340.69
0.268123,1342.24
0.272858,1346.9
0.277593,1351.55
0.282525,1356.21
0.287063,1359.31
0.291995,1363.97
0.296731,1367.07
0.301466,1370.17
0.306201,1374.83
0.310936,1376.38
0.315671,1379.48
0.320209,1384.14
0.324944,1385.69
0.327903,1390.34
0.331849,1395
0.336584,1393.45
0.341319,1399.66
0.346054,1401.21

x,Casem2018_Fig2a_1e-1_295K
0,-2.27374e-13
0.00217,434.48
0.004932,695.17
0.005722,730.86
0.006708,768.1
0.007497,806.9
0.008286,845.69
0.008878,884.48
0.009667,921.72
0.010457,974.48
0.011443,1011.72
0.012627,1048.97
0.015586,1078.45
0.019729,1087.76
0.023873,1093.97
0.027818,1101.72
0.032554,1107.93
0.037289,1112.59
0.042024,1118.79
0.046759,1126.55
0.051494,1131.21
0.056229,1137.41
0.060964,1142.07
0.065699,1149.83
0.070434,1154.48
0.075169,1159.14
0.080101,1165.34
0.084837,1170
0.089374,1174.66
0.095293,1179.31
0.100028,1183.97
0.104763,1190.17
0.109696,1194.83
0.114431,1199.48
0.119166,1202.59
0.124098,1207.24
0.128833,1211.9
0.133568,1216.55
0.138501,1219.66
0.143236,1224.31
0.148168,1227.41
0.153298,1232.07
0.15823,1235.17
0.162965,1238.28
0.1677,1241.38
0.172435,1246.03
0.177368,1249.14
0.182103,1252.24
0.187035,1256.9
0.19177,1260
0.196505,1266.21
0.20124,1267.76
0.205975,1272.41
0.21071,1273.97
0.215643,1278.62
0.220378,1281.72
0.22531,1284.83
0.230045,1289.48
0.234977,1291.03
0.239713,1295.69
0.244448,1298.79
0.248985,1301.9
0.253523,1305

x,Casem2018_Fig2a_960_295K
0,-2.27374e-13
0.002565,90
0.010062,527.59
0.014008,834.83
0.017165,1058.28
0.018743,1151.38
0.02111,1210.34
0.024662,1236.72
0.027227,1264.66
0.030383,1261.55
0.032751,1258.45
0.036499,1256.9
0.039656,1266.21
0.043799,1281.72
0.046956,1275.52
0.05031,1269.31
0.054651,1278.62
0.059386,1281.72
0.063923,1273.97
0.068461,1281.72
0.072802,1294.14
0.077339,1300.34
0.08168,1311.21
0.085626,1312.76
0.090361,1318.97
0.095293,1328.28
0.099831,1334.48
0.104369,1345.34
0.108709,1353.1
0.11305,1353.1
0.117785,1348.45
0.12252,1350
0.127255,1351.55
0.132582,1360.86
0.136725,1373.28
0.141065,1365.52
0.145209,1370.17
0.149549,1363.97
0.152706,1370.17

x,Casem2018_Fig2a_2200_295K
0,-2.27374e-13
0.001578,72.93
0.003354,148.97
0.008878,446.9
0.013811,799.14
0.017165,991.55
0.01894,1090.86
0.020716,1090.86
0.0219,1137.41
0.023675,1208.79
0.025254,1247.59
0.027424,1249.14
0.028805,1280.17
0.031764,1264.66
0.03354,1306.55
0.039064,1275.52
0.040248,1294.14
0.042024,1286.38
0.044194,1298.79
0.04597,1300.34
0.048534,1294.14
0.049126,1301.9
0.051099,1295.69
0.052283,1309.66
0.054059,1298.79
0.054848,1308.1
0.056821,1318.97
0.058991,1306.55
0.061161,1318.97
0.064121,1320.52
0.068856,1325.17
0.070434,1323.62
0.074775,1326.72
0.077734,1322.07
0.079707,1340.69
0.080891,1328.28
0.083258,1328.28
0.085428,1329.83
0.088191,1329.83
0.090953,1334.48
0.093517,1340.69

x,Casem2018_Fig2a_9600_295K
0,-2.27374e-13
0.000986,18.62
0.002565,38.79
0.004143,54.31
0.005722,107.07
0.006511,152.07
0.007892,235.86
0.009667,353.79
0.010457,428.28
0.01164,538.45
0.014797,732.41
0.017362,893.79
0.019335,980.69
0.0219,1086.21
0.02407,1146.72
0.025451,1183.97
0.027029,1221.21
0.029002,1255.34
0.030778,1281.72
0.034329,1289.48
0.040643,1308.1
0.043602,1326.72
0.047153,1370.17
0.051099,1396.55
0.054651,1374.83
0.056229,1353.1
0.058202,1345.34
0.061556,1332.93
0.065896,1357.76
0.067869,1357.76
0.07221,1365.52
0.076353,1359.31
0.080891,1362.41
0.086218,1354.66
0.091939,1356.21
0.097266,1373.28
0.10279,1385.69
0.108117,1367.07
0.111866,1381.03
0.116404,1370.17
0.119955,1381.03
0.125479,1367.07
0.12903,1376.38
0.133371,1370.17
0.13633,1384.14
0.142446,1388.79
0.150338,1396.55
0.155468,1391.9
0.158427,1395
0.161189,1398.1
0.163952,1387.24
0.17066,1401.21
0.178157,1410.52
0.182892,1401.21
0.187824,1391.9
0.191967,1407.41
0.194335,1405.86
0.1969,1416.72
0.200254,1405.86
0.202227,1413.62
0.205778,1422.93
0.207554,1415.17
0.210513,1418.28
0.21584,1408.97
0.219194,1424.48
0.221364,1418.28
0.225705,1415.17
0.229256,1424.48
0.233991,1421.38
0.237937,1430.69
0.240502,1441.55
0.243264,1422.93
0.247999,1412.07
0.251747,1413.62
0.255101,1430.69
0.259245,1419.83
0.261809,1438.45
0.266545,1436.9
0.271477,1441.55
0.274239,1444.66
0.278974,1440
0.283906,1441.55
0.286274,1455.52
0.288641,1467.93
0.290023,1474.14
0.293377,1467.93
0.295941,1447.76
0.300676,1441.55
0.303636,1446.21
0.306793,1463.28
0.309752,1449.31
0.312317,1447.76
0.314092,1436.9
0.316263,1429.14
0.3208,1415.17
0.323365,1413.62
0.325536,1413.62
0.326719,1388.79
0.329481,1356.21
0.331849,1322.07
0.334216,1289.48
0.336387,1253.79

x,Casem2018_Fig2a_27000_295K
0.000986,43.45
0.001776,86.9
0.003354,97.76
0.003946,127.24
0.00434,156.72
0.00513,195.52
0.005919,232.76
0.006511,271.55
0.0073,310.34
0.008089,347.59
0.008681,386.38
0.009076,418.97
0.010062,547.76
0.01243,727.76
0.013811,844.14
0.014402,882.93
0.014994,921.72
0.015389,960.52
0.015981,997.76
0.01677,1050.52
0.017362,1089.31
0.018151,1128.1
0.019138,1165.34
0.020321,1202.59
0.0219,1239.83
0.024267,1258.45
0.026832,1292.59
0.030581,1300.34
0.03354,1278.62
0.03571,1280.17
0.037683,1317.41
0.039459,1353.1
0.041826,1385.69
0.044391,1353.1
0.047745,1376.38
0.051297,1396.55
0.053861,1429.14
0.056032,1463.28
0.059977,1450.86
0.063331,1421.38
0.065699,1430.69
0.067475,1418.28
0.070434,1444.66
0.072604,1453.97
0.074577,1449.31
0.079115,1449.31
0.081285,1440
0.083061,1458.62
0.085231,1469.48
0.087007,1460.17
0.091545,1449.31
0.094109,1444.66
0.095885,1444.66
0.099831,1466.38
0.104171,1477.24
0.108117,1455.52
0.112852,1457.07
0.117587,1464.83
0.122322,1472.59
0.127057,1467.93
0.131793,1474.14
0.13633,1471.03
0.140671,1485
0.145406,1492.76
0.149944,1480.34
0.154679,1480.34
0.158822,1498.97
0.163557,1498.97
0.168095,1495.86
0.172238,1503.62
0.176776,1511.38
0.181313,1509.83
0.183089,1502.07
0.185654,1511.38
0.18743,1500.52
0.189402,1514.48
0.191967,1503.62
0.193151,1516.03
0.194729,1531.55
0.196702,1522.24
0.199267,1522.24
0.20124,1520.69
0.204397,1517.59
0.206172,1517.59
0.207948,1528.45
0.209526,1517.59
0.209921,1528.45
0.21071,1537.76
0.211894,1530
0.214064,1542.41
0.216037,1533.1
0.21801,1531.55
0.22018,1531.55
0.222351,1526.9
0.227086,1537.76
0.231821,1540.86
0.236556,1534.66
0.241291,1543.97
0.246026,1548.62
0.250761,1542.41
0.255496,1550.17
0.260034,1556.38
0.264769,1548.62
0.269504,1548.62
0.274042,1556.38
0.278777,1551.72
0.283512,1547.07
0.28805,1556.38
0.292785,1553.28
0.29752,1548.62
0.302452,1551.72
0.307187,1547.07
0.311528,1533.1

x,Casem2018_Fig2a_68000_295K
0,-2.27374e-13
0.000592,169.14
0.00217,193.97
0.003551,231.21
0.004735,268.45
0.005524,307.24
0.006511,344.48
0.0073,383.28
0.009667,495
0.010259,533.79
0.011048,572.59
0.01164,609.83
0.012232,648.62
0.013021,687.41
0.013613,726.21
0.014402,763.45
0.014994,802.24
0.015586,841.03
0.016178,870.52
0.016967,909.31
0.017559,946.55
0.018348,985.34
0.019138,1024.14
0.019729,1062.93
0.020321,1100.17
0.020913,1132.76
0.021702,1171.55
0.023083,1253.79
0.02407,1312.76
0.025648,1350
0.027621,1384.14
0.031172,1363.97
0.033343,1329.83
0.035908,1283.28
0.039459,1256.9
0.043405,1266.21
0.046561,1294.14
0.048337,1340.69
0.051099,1354.66
0.053072,1314.31
0.056821,1291.03
0.060372,1317.41
0.06195,1343.79
0.065304,1370.17
0.070039,1374.83
0.07438,1368.62
0.076156,1336.03
0.077931,1318.97
0.081285,1339.14
0.083455,1371.72
0.087599,1387.24
0.091939,1376.38
0.095096,1359.31
0.099239,1359.31
0.10062,1373.28
0.105158,1377.93
0.109301,1373.28
0.113839,1362.41
0.118574,1370.17
0.123112,1390.34
0.126466,1385.69
0.130806,1382.59
0.135147,1367.07
0.139092,1385.69
0.142644,1399.66
0.147379,1391.9
0.152114,1387.24
0.156849,1385.69
0.160992,1398.1
0.163162,1408.97
0.165333,1404.31
0.169476,1388.79
0.174211,1399.66
0.178946,1396.55
0.183484,1407.41
0.188021,1396.55
0.192756,1405.86
0.197492,1410.52
0.202227,1410.52
0.206962,1404.31
0.211499,1412.07
0.214459,1412.07
0.216432,1418.28
0.220772,1415.17
0.223337,1412.07
0.22531,1415.17
0.227678,1410.52
0.229651,1416.72
0.231821,1426.03
0.233794,1424.48
0.235964,1426.03
0.238529,1424.48
0.240699,1415.17
0.242277,1432.24
0.245631,1405.86
0.249183,1429.14
0.253523,1430.69
0.258061,1427.59
0.262796,1429.14
0.267531,1426.03
0.272266,1429.14
0.277001,1427.59
0.281933,1424.48
0.286669,1429.14
0.291404,1432.24
0.296336,1432.24
0.301268,1430.69
0.306003,1432.24
0.310936,1429.14
0.315671,1421.38
0.319617,1404.31
