"label","filename","paper","temp","strainRate","chem_Y","chem_N","chem_C","chem_H","chem_Fe","chem_0","chem_Al","chem_V","chem_Mn","chem_Si"
31,"Babu2013_Fig5-1223K-1e-1.Plast.csv","Babu2013",1223,0.1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
32,"Babu2013_Fig5-1223K-1e-2.Plast.csv","Babu2013",1223,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
33,"Babu2013_Fig5-1223K-1e-3.Plast.csv","Babu2013",1223,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
34,"Babu2013_Fig5-1223K-1e0.Plast.csv","Babu2013",1223,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
35,"Babu2013_Fig5-1273K-1e-1.Plast.csv","Babu2013",1273,0.1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
36,"Babu2013_Fig5-1273K-1e-2.Plast.csv","Babu2013",1273,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
37,"Babu2013_Fig5-1273K-1e-3.Plast.csv","Babu2013",1273,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
38,"Babu2013_Fig5-1273K-1e0.Plast.csv","Babu2013",1273,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
39,"Babu2013_Fig5-1323K-1e-1.Plast.csv","Babu2013",1323,0.1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
40,"Babu2013_Fig5-1323K-1e-2.Plast.csv","Babu2013",1323,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
41,"Babu2013_Fig5-1323K-1e-3.Plast.csv","Babu2013",1323,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
42,"Babu2013_Fig5-1323K-1e0.Plast.csv","Babu2013",1323,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
43,"Babu2013_Fig5-1373K-1e-1.Plast.csv","Babu2013",1373,0.1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
44,"Babu2013_Fig5-1373K-1e-2.Plast.csv","Babu2013",1373,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
45,"Babu2013_Fig5-1373K-1e-3.Plast.csv","Babu2013",1373,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
46,"Chen2015_Fig5f-973K-10000.Plast.csv","Chen2015",973,10000,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
47,"Follansbee1989_Fig12-189K-15e-4.Plast.csv","Follansbee1989",189,0.0015,0,0.001,0.065,0,0.13,0.18,6.4,4,0,0
48,"Follansbee1989_Fig13-295K-3000.Plast.csv","Follansbee1989",295,3000,0,0.001,0.065,0,0.13,0.18,6.4,4,0,0
49,"Lee1998_Fig3-973K-800.Plast.csv","Lee1998",973,800,0,0.008,0.014,0.0057,0.2,0.15,6.1,4,0,0
50,"NN2001_Fig1a-296K-1900.Plast.csv","Nemat-Nasser2001",296,1900,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
51,"NN2001_Fig1a-598K-2700.Plast.csv","Nemat-Nasser2001",598,2700,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
52,"NN2001_Fig1a-77K-1900.Plast.csv","Nemat-Nasser2001",77,1900,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
53,"NN2001_Fig1a-798K-3100.Plast.csv","Nemat-Nasser2001",798,3100,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
54,"NN2001_Fig1a-998K-3700.Plast.csv","Nemat-Nasser2001",998,3700,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
55,"NN2001_Fig1b-296K-1e-3.Plast.csv","Nemat-Nasser2001",296,0.001,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
56,"NN2001_Fig1b-296K-2000.Plast.csv","Nemat-Nasser2001",296,2000,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
57,"NN2001_Fig1b-296K-6000.Plast.csv","Nemat-Nasser2001",296,6000,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
58,"NN2001_Fig1b-598K-1e-3.Plast.csv","Nemat-Nasser2001",598,0.001,NA,0.01,0.01,6e-04,0.21,0.19,6.21,3.61,0,0
59,"NN2001_Fig1c-1000K-1e-2.Plast.csv","Nemat-Nasser2001",1000,0.01,NA,0.008,0.01,0.002,0.19,0.2,6.33,4.13,0,0
60,"NN2001_Fig1c-296K-1e-2.Plast.csv","Nemat-Nasser2001",296,0.01,NA,0.008,0.01,0.002,0.19,0.2,6.33,4.13,0,0
61,"NN2001_Fig1c-500K-1e-2.Plast.csv","Nemat-Nasser2001",500,0.01,NA,0.008,0.01,0.002,0.19,0.2,6.33,4.13,0,0
62,"NN2001_Fig1c-600K-1e-2.Plast.csv","Nemat-Nasser2001",600,0.01,NA,0.008,0.01,0.002,0.19,0.2,6.33,4.13,0,0
63,"NN2001_Fig1c-700K-1e-2.Plast.csv","Nemat-Nasser2001",700,0.01,NA,0.008,0.01,0.002,0.19,0.2,6.33,4.13,0,0
64,"NN2001_Fig1c-800K-1e-2.Plast.csv","Nemat-Nasser2001",800,0.01,NA,0.008,0.01,0.002,0.19,0.2,6.33,4.13,0,0
65,"NN2001_Fig1d-296K-1e-2.Plast.csv","Nemat-Nasser2001",296,0.01,NA,0.008,0.02,0.002,0.19,0.28,6.33,4.13,0,0
66,"NN2001_Fig1d-296K-2000(1).Plast.csv","Nemat-Nasser2001",296,0.01,NA,0.008,0.02,0.002,0.19,0.28,6.33,4.13,0,0
67,"NN2001_Fig1d-296K-2000(2).Plast.csv","Nemat-Nasser2001",296,2000,NA,0.008,0.02,0.002,0.19,0.28,6.33,4.13,0,0
68,"NN2001_Fig1d-296K-5100.Plast.csv","Nemat-Nasser2001",296,5100,NA,0.008,0.02,0.002,0.19,0.28,6.33,4.13,0,0
69,"NN2001_Fig1d-600K-1e-2.Plast.csv","Nemat-Nasser2001",600,0.01,NA,0.008,0.02,0.002,0.19,0.28,6.33,4.13,0,0
70,"NN2001_Fig1d-800K-1e-2.Plast.csv","Nemat-Nasser2001",800,0.01,NA,0.008,0.02,0.002,0.19,0.28,6.33,4.13,0,0
71,"Seo2005_Fig15-1093K-1400.Plast.csv","Seo 2005",1093,1400,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
72,"Seo2005_Fig15-1293K-1400.Plast.csv","Seo 2005",1293,1400,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
73,"Seo2005_Fig15-298K-1400.Plast.csv","Seo 2005",298,1400,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
74,"Seo2005_Fig15-493K-1400.Plast.csv","Seo 2005",493,1400,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
75,"Seo2005_Fig15-693K-1400.Plast.csv","Seo 2005",693,1400,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
76,"Seo2005_Fig15-893K-1400.Plast.csv","Seo 2005",893,1400,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
77,"Seo2005_Fig17-298K-1400.Plast.csv","Seo 2005",298,1400,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
78,"Seo2005_Fig17-298K-700.Plast.csv","Seo 2005",298,700,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA
79,"Zhou2017_Fig6-273K-1e3.Plast.csv","Zhou 2017",273,1000,0,0.014,0.04,0.005,0.03,0.06,6.16,3.95,0,0
80,"Zhou2017_Fig6-273K-5e2.Plast.csv","Zhou 2017",273,500,0,0.014,0.04,0.005,0.03,0.06,6.16,3.95,0,0
81,"Zhou2017_Fig6-273K-5e3.Plast.csv","Zhou 2017",273,5000,0,0.014,0.04,0.005,0.03,0.06,6.16,3.95,0,0
82,"Zhou2017_Fig6-273K-7e3.Plast.csv","Zhou 2017",273,7000,0,0.014,0.04,0.005,0.03,0.06,6.16,3.95,0,0
83,"Zhou2017_Fig6-273K-9e3.Plast.csv","Zhou 2017",273,9000,0,0.014,0.04,0.005,0.03,0.06,6.16,3.95,0,0
